cases,deaths,geoId,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,homecontinent
0,0,CH,647.33834886,Europe
125,12,SY,8.01985597,Asia
4,0,TW,0.27340929,Asia
38,0,TJ,5.88991144,Asia
28,0,TH,0.37342597,Asia
0,0,TL,0.07733234,Asia
30,0,TG,3.57568873,Africa
15,0,TT,15.6992736,North America
968,58,TN,129.20359537,Africa
29136,222,TR,499.22026862,Asia
0,0,TC,54.98245798,North America
461,1,UG,16.68639918,Africa
15627,249,UA,404.57436089,Europe
1194,8,AE,175.99871286,Asia
0,0,TZ,0.0,Africa
189723,1340,US,873.21159186,North America
0,0,VI,251.48452366,North America
528,1,UY,115.31803020000001,South America
138,0,UZ,6.74313025,Asia
0,0,VU,0.0,Oceania
462,5,VE,18.01455606,South America
2,0,VN,0.05598053,Asia
0,0,WF,,Oceania
0,0,EH,0.0,Africa
0,0,YE,0.02057478,Asia
57,1,ZM,3.72878748,Africa
27,0,ZW,8.84915086,Africa
