cases,geoId,latitude,longitude
0,LK,7.873054,80.77179699999999
0,SD,12.862807,30.217636
0,SR,3.9193050000000005,-56.02778299999999
314,SE,60.128161,18.643501
925,CH,46.818188,8.227511999999999
0,SY,34.802075,38.996815000000005
19,TW,23.69781,120.96051499999999
111,TH,15.870032,100.992541
0,TL,-8.874217,125.727539
5,TG,8.619543,0.824782
3,TT,10.691803,-61.222503
59,TN,33.886917,9.537499
561,TR,38.963745,35.243322
0,TC,21.694025,-71.797928
5,UG,1.373333,32.290275
29,UA,48.379433,31.16558
85,AE,23.424076,53.847818000000004
0,TZ,-6.369028,34.888822
13963,US,37.09024,-95.712891
0,VI,18.335765,-64.896335
28,UY,-32.522779,-55.765834999999996
10,UZ,41.377491,64.585262
15,VE,6.42375,-66.58973
16,VN,14.058323999999999,108.277199
9,ZM,-13.133897,27.849332
1,ZW,-19.015438,29.154857
